"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"200","6/1/2016 00:05:10","6/1/2016 00:08:30","412","Forsyth St & Canal St","40.7158155","-73.99422366","340","Madison St & Clinton St","40.71269042","-73.98776323","14927","Subscriber","1977","2"
"190","6/1/2016 00:05:09","6/1/2016 00:08:19","503","E 20 St & Park Ave","40.73827428","-73.98751968","461","E 20 St & 2 Ave","40.73587678","-73.98205027","25008","Subscriber","1973","1"
"1416","6/1/2016 00:05:10","6/1/2016 00:28:47","3120","Center Blvd & Borden Ave","40.74161","-73.96044","2002","Wythe Ave & Metropolitan Ave","40.716887","-73.963198","15472","Subscriber","1989","1"
"1476","6/1/2016 00:05:23","6/1/2016 00:30:00","72","W 52 St & 11 Ave","40.76727216","-73.99392888","496","E 16 St & 5 Ave","40.73726186","-73.99238967","17409","Customer","","0"
"190","6/1/2016 00:04:17","6/1/2016 00:07:28","482","W 15 St & 7 Ave","40.73935542","-73.99931783","482","W 15 St & 7 Ave","40.73935542","-73.99931783","22606","Subscriber","1988","1"
"476","6/1/2016 00:05:32","6/1/2016 00:13:29","530","11 Ave & W 59 St","40.771522","-73.990541","529","W 42 St & 8 Ave","40.7575699","-73.99098507","23308","Subscriber","1991","1"
"604","6/1/2016 00:05:33","6/1/2016 00:15:38","2021","W 45 St & 8 Ave","40.75929124","-73.98859651","379","W 31 St & 7 Ave","40.749156","-73.9916","22224","Subscriber","1981","1"
"264","6/1/2016 00:05:41","6/1/2016 00:10:06","334","W 20 St & 7 Ave","40.74238787","-73.99726235","466","W 25 St & 6 Ave","40.74395411","-73.99144871","14708","Subscriber","1951","1"
"507","6/1/2016 00:05:49","6/1/2016 00:14:17","368","Carmine St & 6 Ave","40.73038599","-74.00214988","531","Forsyth St & Broome St","40.71893904","-73.99266288","21084","Subscriber","1987","1"
"205","6/1/2016 00:05:52","6/1/2016 00:09:18","3224","W 13 St & Hudson St","40.73997354103409","-74.00513872504234","358","Christopher St & Greenwich St","40.73291553","-74.00711384","16039","Subscriber","1992","1"
"353","6/1/2016 00:05:57","6/1/2016 00:11:51","3157","East End Ave & E 86 St","40.77518615","-73.94446054","3156","E 72 St & York Ave","40.76663814","-73.95348296","19057","Subscriber","1952","1"
"638","6/1/2016 00:06:15","6/1/2016 00:16:54","439","E 4 St & 2 Ave","40.7262807","-73.98978041","2010","Grand St & Greene St","40.72165481","-74.00234737","23792","Subscriber","","0"
"909","6/1/2016 00:06:31","6/1/2016 00:21:40","296","Division St & Bowery","40.71413089","-73.9970468","419","Carlton Ave & Park Ave","40.69580705","-73.97355569","21796","Subscriber","1956","1"
"758","6/1/2016 00:06:38","6/1/2016 00:19:16","334","W 20 St & 7 Ave","40.74238787","-73.99726235","439","E 4 St & 2 Ave","40.7262807","-73.98978041","21002","Subscriber","1960","1"
"285","6/1/2016 00:06:59","6/1/2016 00:11:44","479","9 Ave & W 45 St","40.76019252","-73.9912551","488","W 39 St & 9 Ave","40.75645824","-73.99372222","25255","Subscriber","1986","1"
"594","6/1/2016 00:07:03","6/1/2016 00:16:58","519","Pershing Square North","40.751873","-73.977706","447","8 Ave & W 52 St","40.76370739","-73.9851615","23628","Subscriber","1963","1"
"1458","6/1/2016 00:07:02","6/1/2016 00:31:20","3153","E 71 St & 2 Ave","40.76817546742245","-73.95910263061523","153","E 40 St & 5 Ave","40.752062307","-73.9816324043","19527","Customer","","0"
